R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
47,106,61,26.71,25.37
46,104,66,26.71,25.41
43,105,67,26.71,25.37
41,106,62,26.71,25.41
40,105,62,26.71,25.37
46,101,60,26.71,25.41
49,101,58,26.71,25.37
44,102,61,26.71,25.41
39,102,64,26.71,25.37
37,102,64,26.71,25.41
37,103,64,26.71,25.37
33,106,63,26.71,25.41
38,109,64,26.71,25.37
39,111,65,26.71,25.41
36,113,69,26.71,25.37
34,116,73,26.71,25.41
36,119,78,26.71,25.37
45,121,77,26.71,25.41
43,123,82,26.71,25.37
42,122,86,26.71,25.41
44,127,82,26.71,25.37
43,130,81,26.71,25.41
41,131,84,26.71,25.37
34,130,85,26.71,25.41
33,127,84,26.71,25.37
32,127,84,26.71,25.41
39,122,80,26.71,25.37
36,121,80,26.71,25.41
31,119,78,26.71,25.37
34,117,76,26.71,25.41
33,117,74,26.71,25.37
34,117,75,26.71,25.41
38,112,71,26.71,25.37
42,109,70,26.71,25.41
34,107,67,26.71,25.37
28,109,66,26.71,25.41
27,107,67,26.71,25.37
26,103,64,26.71,25.41
25,102,66,26.71,25.37
23,103,69,26.71,25.41
22,102,63,26.71,25.37
22,103,57,26.71,25.41
26,97,56,26.71,25.37
24,100,58,26.71,25.41
94,128,88,26.71,25.37
95,126,87,26.71,25.41
94,127,86,26.71,25.37
93,128,86,26.71,25.41
92,130,85,26.71,25.37
90,130,81,26.71,25.41
89,127,78,26.71,25.37
87,124,78,26.71,25.41
84,123,78,26.71,25.37
85,121,79,26.71,25.41
80,119,73,26.71,25.37
73,117,73,26.71,25.41
68,116,72,26.71,25.37
65,114,71,26.71,25.41
63,112,66,26.71,25.37
64,113,64,26.71,25.41
58,112,65,26.71,25.37
57,109,71,26.71,25.41
59,108,69,26.71,25.37
60,107,68,26.71,25.41
58,110,66,26.71,25.37
58,110,69,26.71,25.41
57,110,69,26.71,25.37
59,108,67,26.71,25.41
59,109,67,26.71,25.37
58,110,67,26.71,25.41
55,112,63,26.71,25.37
54,111,66,26.71,25.41
54,109,66,26.71,25.37
50,108,66,26.71,25.41
49,108,65,26.71,25.37
51,107,65,26.71,25.41
51,105,68,26.71,25.37
48,105,68,26.71,25.41
46,104,71,26.71,25.37
45,106,69,26.71,25.41
45,108,70,26.71,25.37
51,106,70,26.71,25.41
56,105,68,26.71,25.37
58,105,68,26.71,25.41
52,109,70,26.71,25.37
55,110,68,26.71,25.41
58,109,65,26.71,25.37
58,110,66,26.71,25.41
60,109,67,26.71,25.37
61,108,64,26.71,25.41
64,109,65,26.71,25.37
62,109,63,26.71,25.41
60,109,65,26.71,25.37
58,106,68,26.71,25.41
56,107,67,26.71,25.37
54,109,62,26.71,25.41
