Index,Row,Col,R,G,B
1100,11,0,55,79,54
1101,11,1,50,81,52
1102,11,2,48,83,50
1103,11,3,51,84,53
1104,11,4,51,83,53
1105,11,5,51,84,50
1106,11,6,49,86,49
1107,11,7,49,88,46
1108,11,8,48,90,46
1109,11,9,48,91,45
1110,11,10,46,91,45
1111,11,11,48,90,43
1112,11,12,50,90,44
1113,11,13,50,87,48
1114,11,14,50,86,50
1115,11,15,48,85,48
1116,11,16,50,85,48
1117,11,17,49,84,52
1118,11,18,48,82,53
1119,11,19,48,82,54
1120,11,20,48,85,48
1121,11,21,49,85,44
1122,11,22,49,87,45
1123,11,23,49,84,46
1124,11,24,51,84,49
1125,11,25,55,85,47
1126,11,26,53,84,52
1127,11,27,52,86,50
1128,11,28,50,89,46
1129,11,29,52,86,51
1130,11,30,50,86,54
1131,11,31,46,89,45
1132,11,32,48,88,42
1133,11,33,48,86,46
1134,11,34,47,87,49
1135,11,35,47,87,42
1136,11,36,44,88,43
1137,11,37,47,89,45
1138,11,38,48,87,48
1139,11,39,49,87,46
1140,11,40,53,86,45
1141,11,41,54,83,44
1142,11,42,47,85,47
1143,11,43,51,84,45
1144,11,44,47,83,45
1145,11,45,41,79,45
1146,11,46,40,76,48
1147,11,47,33,77,50
1148,11,48,33,73,46
