R,G,B,Drought_AmbientTemp,Drought_ObjectTemp,Delta_T,CWSI
35,114,72,26.71,25.41,-1.3000000000000007,1.0
35,111,69,26.71,25.37,-1.34,0.986
35,108,69,26.71,25.41,-1.3000000000000007,1.0
32,108,65,26.71,25.37,-1.34,0.986
30,108,65,26.71,25.41,-1.3000000000000007,1.0
29,106,60,26.71,25.37,-1.34,0.986
30,102,56,26.71,25.41,-1.3000000000000007,1.0
32,99,57,26.71,25.37,-1.34,0.986
34,96,62,26.71,25.41,-1.3000000000000007,1.0
23,101,60,26.71,25.37,-1.34,0.986
19,102,62,26.71,25.41,-1.3000000000000007,1.0
28,98,55,26.71,25.37,-1.34,0.986
27,97,55,26.71,25.41,-1.3000000000000007,1.0
94,127,84,26.71,25.37,-1.34,0.986
97,127,87,26.71,25.41,-1.3000000000000007,1.0
98,129,86,26.71,25.37,-1.34,0.986
94,132,83,26.71,25.41,-1.3000000000000007,1.0
94,132,83,26.71,25.37,-1.34,0.986
91,131,85,26.71,25.41,-1.3000000000000007,1.0
89,129,84,26.71,25.37,-1.34,0.986
90,125,81,26.71,25.41,-1.3000000000000007,1.0
89,123,80,26.71,25.37,-1.34,0.986
83,124,80,26.71,25.41,-1.3000000000000007,1.0
82,120,73,26.71,25.37,-1.34,0.986
79,118,72,26.71,25.41,-1.3000000000000007,1.0
72,116,75,26.71,25.37,-1.34,0.986
67,115,69,26.71,25.41,-1.3000000000000007,1.0
67,115,66,26.71,25.37,-1.34,0.986
65,112,66,26.71,25.41,-1.3000000000000007,1.0
55,113,67,26.71,25.37,-1.34,0.986
51,113,70,26.71,25.41,-1.3000000000000007,1.0
53,112,71,26.71,25.37,-1.34,0.986
57,110,66,26.71,25.41,-1.3000000000000007,1.0
58,110,68,26.71,25.37,-1.34,0.986
53,111,69,26.71,25.41,-1.3000000000000007,1.0
54,108,72,26.71,25.37,-1.34,0.986
52,110,71,26.71,25.41,-1.3000000000000007,1.0
53,111,65,26.71,25.37,-1.34,0.986
48,113,67,26.71,25.41,-1.3000000000000007,1.0
51,113,66,26.71,25.37,-1.34,0.986
55,109,67,26.71,25.41,-1.3000000000000007,1.0
51,111,64,26.71,25.37,-1.34,0.986
49,110,64,26.71,25.41,-1.3000000000000007,1.0
48,107,63,26.71,25.37,-1.34,0.986
47,109,66,26.71,25.41,-1.3000000000000007,1.0
47,107,64,26.71,25.37,-1.34,0.986
44,106,66,26.71,25.41,-1.3000000000000007,1.0
43,105,67,26.71,25.37,-1.34,0.986
43,105,65,26.71,25.41,-1.3000000000000007,1.0
44,107,66,26.71,25.37,-1.34,0.986
49,105,66,26.71,25.41,-1.3000000000000007,1.0
50,105,71,26.71,25.37,-1.34,0.986
51,106,71,26.71,25.41,-1.3000000000000007,1.0
53,108,68,26.71,25.37,-1.34,0.986
55,110,64,26.71,25.41,-1.3000000000000007,1.0
